481855606|Rafael Campos|40683125915|Engenharia de Software|Mirella Moreira|Nicolas Cavalcanti|2018|6.06
423700335|Luiz Felipe Teixeira|07652384117|Engenharia de Software|Gabrielly Abreu|Pedro Henrique Pereira|2021|9.73
124426461|Gabriel Casa Grande|15830679221|Engenharia Elétrica|Srta. Aurora Vasconcelos|Sr. Gael Dias|2022|6.35
206942413|Enrico Pereira|65982317446|Medicina|Maria Júlia Teixeira|Pedro Lucas Cunha|2024|7.64
641748444|Sophie Souza|56830297168|Engenharia de Software|Esther Lima|Dom Costa|2018|6.63
880058594|Kaique Aragão|24598673010|Engenharia de Software|Beatriz Pastor|Luiz Otávio Santos|2021|8.28
534856845|Marcela Carvalho|05162893498|Medicina|Hellena Moreira|Rafael Farias|2022|8.36
108270389|Carlos Eduardo Rocha|80435971204|Engenharia de Software|Fernanda Santos|Otto Moura|2018|8.44
505468438|Pietra Cassiano|90328165433|Engenharia de Software|Stephany Vieira|Breno Pinto|2021|7.45
740834846|Ravy Souza|80641539720|Ciência da Computação|Dra. Sabrina Macedo|Isaque Nascimento|2022|7.15
326488532|Stephany da Conceição|21965840701|Sistemas de Informação|Liz Gomes|Luiz Miguel Dias|2019|9.16
788654759|Yago da Rosa|46578203117|Engenharia Elétrica|Srta. Isabelly Vieira|Henrique Siqueira|2024|6.48
635957538|Marina Barbosa|80193725479|Engenharia de Software|Anna Liz Camargo|Vitor da Conceição|2023|7.32
637954810|Yago Novais|02871459649|Engenharia Elétrica|Luara Araújo|Valentim Guerra|2021|7.79
118879103|Cauã Cunha|82304967140|Engenharia de Software|Lara Cassiano|Carlos Eduardo Rezende|2019|6.96
391018102|Fernanda Vargas|13629485782|Medicina|Emanuella Campos|Mateus Souza|2022|6.81
462251529|Davi Luiz Cirino|34517809250|Engenharia Elétrica|Dra. Maria Sophia Martins|Yuri Pires|2019|6.55
875047174|Sra. Bárbara Cassiano|91438205651|Ciência da Computação|Aurora Ribeiro|Caleb Freitas|2024|6.76
632492587|Liz Nascimento|14687592309|Medicina|Melissa Rocha|Bruno Moreira|2018|8.58
432950919|Isabela da Rocha|57128034960|Medicina|Emanuelly Dias|Gabriel Lima|2019|7.16
620871473|Nicolas Vieira|29503168406|Sistemas de Informação|Catarina Mendes|Rafael Casa Grande|2018|9.6
961831245|Maria Julia Pereira|13459780657|Engenharia Elétrica|Luara da Paz|Davi Lucas Melo|2024|8.57
811844763|Josué Carvalho|31286905451|Ciência da Computação|Dra. Mirella Pastor|Fernando da Mota|2022|9.64
105870674|Melissa Cassiano|56712490316|Ciência da Computação|Ana Vitória Porto|Sr. Luiz Otávio Lima|2018|7.94
784936490|Dr. Benício Farias|95406317261|Medicina|Gabrielly Pereira|Arthur Miguel Rocha|2020|7.98
657280550|Henry Pereira|57361408290|Sistemas de Informação|Laura Silva|Dante Marques|2023|7.2
538922969|Alícia Farias|18375026417|Engenharia Elétrica|Srta. Stephany da Rosa|Pedro Miguel Fogaça|2024|8.67
521385549|André Silva|94532018714|Medicina|Marcela Câmara|Levi Pinto|2019|9.18
678828370|Bento Albuquerque|69135284773|Medicina|Fernanda da Cruz|Henrique Sampaio|2024|7.13
